ID_REGISTRO	QTD_FILMES_ACAO	QTD_FILMES_ANIMACAO	QTD_FILMES_AVENTURA	QTD_FILMES_COMEDIA	QTD_FILMES_DOCUMENTARIO	QTD_FILMES_DRAMA	QTD_FILMES_FICCAO	QTD_FILMES_MUSICAL	QTD_FILMES_ROMANCE	QTD_FILMES_SUSPENSE	QTD_FILMES_TERROR
334	2	5	2	4	1	4	4	3	1	4	1
335	4	1	2	3	0	3	5	2	3	0	2
336	1	0	0	0	9	22	0	0	2	0	0
337	2	4	2	4	0	1	1	3	4	2	4
338	24	0	3	0	0	0	1	0	0	1	0
339	1	0	0	12	0	0	0	2	6	0	0
340	0	0	0	0	0	1	2	0	0	11	15
341	3	1	14	5	0	1	13	1	0	5	0
342	20	0	5	2	0	0	10	0	0	3	1
343	19	0	2	1	0	0	3	0	0	1	0
344	3	2	2	10	2	6	8	2	7	3	3
345	2	0	0	0	0	1	2	0	0	7	10
346	0	42	0	2	0	0	0	1	1	0	0
347	15	1	3	3	0	0	2	1	0	2	0
348	9	9	0	1	1	1	1	3	0	1	1
349	23	0	26	11	1	2	15	1	1	6	1
350	1	0	4	3	0	1	0	5	5	4	1
351	3	2	3	1	1	2	4	4	4	0	2
352	5	3	1	22	1	1	1	16	3	1	0
353	0	0	0	0	0	1	0	0	0	21	4
354	38	0	4	2	1	0	9	0	0	4	0
355	1	2	0	1	0	0	0	6	12	0	0
356	1	1	1	1	0	4	6	6	1	3	6
357	8	0	12	3	0	0	8	0	1	4	0
358	1	3	0	19	0	0	0	3	10	0	0
359	41	0	2	0	0	0	5	0	0	1	0
360	2	3	2	1	1	6	6	2	6	5	6
361	2	3	5	4	0	1	4	0	0	5	2
362	3	1	1	20	0	1	1	1	12	1	1
363	34	1	2	2	1	1	1	1	0	1	0
364	5	3	1	4	1	0	3	1	3	4	1
365	0	2	0	11	0	0	0	6	11	0	0
366	0	0	0	0	0	2	1	0	0	29	9
367	28	2	23	10	2	1	17	2	0	8	0
368	24	0	2	0	0	0	4	0	0	2	0
369	31	0	1	3	0	0	3	0	0	1	0
370	1	0	0	0	0	1	1	0	0	22	8
371	0	0	0	3	1	17	0	0	1	0	0
372	4	1	0	52	1	1	0	0	0	0	1
373	1	2	0	12	0	0	0	0	6	0	0
374	8	1	8	6	1	0	23	1	1	8	1
375	0	0	6	6	2	2	1	7	6	8	5
376	3	1	0	22	0	0	0	3	22	0	0
377	28	1	1	5	1	1	8	0	1	8	0
378	2	0	0	2	7	33	0	0	2	0	0
379	43	0	2	3	1	0	3	0	1	2	0
380	23	0	4	2	0	0	2	0	0	1	0
381	0	0	0	0	0	0	0	0	0	12	9
382	1	0	0	0	0	1	1	0	0	15	9
383	1	0	0	1	1	21	0	0	1	0	0
384	1	1	2	24	1	1	1	8	7	1	1
385	23	0	3	0	0	0	0	0	0	1	0
386	20	2	22	16	2	1	0	1	0	14	2
387	28	0	3	1	0	0	4	0	0	1	0
388	1	1	0	3	6	36	0	0	1	0	1
389	0	0	0	0	0	2	2	0	0	29	6
390	17	0	2	2	0	0	3	0	0	0	0
391	24	0	1	1	0	0	4	0	0	2	0
392	3	1	1	3	2	25	1	0	3	1	0
393	19	0	0	0	0	0	3	0	0	0	0
394	1	0	0	2	2	36	0	0	0	0	0
395	0	0	0	0	16	38	0	0	2	0	0
396	30	1	8	3	0	0	4	1	0	1	0
397	18	0	5	7	1	0	5	1	1	5	1
398	1	0	0	1	0	28	0	0	1	0	0
399	4	3	2	1	1	2	2	5	4	4	8
400	18	0	7	1	0	0	4	0	0	2	0
401	31	0	1	1	0	0	0	0	0	1	0
402	1	1	0	5	0	0	0	4	14	0	0
403	36	1	4	2	1	1	4	1	0	2	0
404	0	0	0	0	1	20	0	0	0	0	0
405	56	1	3	4	0	1	2	0	1	3	0
406	21	0	1	1	0	0	1	0	0	1	0
407	2	1	0	3	0	0	0	4	12	0	0
408	1	0	0	0	4	34	0	0	1	0	0
409	3	3	1	20	1	1	0	2	32	1	0
410	49	0	5	4	1	0	1	0	1	2	0
411	22	0	2	1	0	0	2	0	0	0	0
412	2	0	1	4	1	0	0	14	17	0	0
413	4	1	1	7	1	1	1	8	6	0	0
414	0	0	0	5	0	0	0	5	15	0	0
415	1	0	0	0	6	21	0	0	0	0	0
416	65	0	7	1	1	1	2	0	0	2	1
417	48	0	11	3	0	0	6	0	0	2	0
418	0	0	0	2	12	8	0	0	1	0	0
419	1	0	0	0	0	1	1	0	0	30	10
420	1	0	0	0	0	1	2	0	0	26	3
421	2	5	2	6	1	4	6	6	3	3	0
422	0	46	1	1	0	0	0	1	1	0	0
423	0	1	0	7	1	0	0	1	14	1	0
424	46	0	3	2	0	0	4	0	0	3	0
425	2	1	1	13	1	1	0	11	4	0	0
426	4	1	1	1	1	2	0	0	0	30	1
427	3	0	0	3	10	12	0	0	1	0	0
428	0	0	0	0	0	1	1	0	0	18	2
429	1	0	0	1	3	20	0	0	0	0	0
430	0	0	0	0	0	1	2	0	0	22	4
431	11	3	5	29	29	11	3	5	3	5	5
432	7	0	1	1	1	1	5	1	1	2	32
433	2	0	0	0	12	19	0	0	1	0	0
434	1	0	0	0	0	1	1	0	0	2	21
435	3	5	1	5	0	1	1	17	19	1	0
436	2	12	7	10	2	2	8	8	15	7	1
437	7	3	0	5	0	3	6	5	7	6	6
438	0	3	0	12	0	0	0	0	15	1	1
439	19	0	3	0	0	0	1	0	0	1	0
440	32	0	0	2	1	0	11	0	1	3	0
441	1	7	7	22	1	1	1	6	6	1	1
442	2	3	0	11	0	0	0	3	9	0	0
443	2	4	1	18	0	1	1	5	18	0	1
444	1	0	0	0	0	2	2	0	0	30	18
445	35	0	4	0	0	0	3	0	0	1	0
446	1	0	0	1	17	3	0	0	2	0	0
447	28	1	3	5	1	1	21	1	1	2	1
448	1	0	0	1	12	30	0	0	0	0	0
449	2	1	0	12	0	0	0	3	14	0	0
450	3	1	0	13	0	0	0	5	17	1	0
451	1	0	0	0	0	3	1	0	0	49	14
452	1	1	0	11	0	0	0	6	15	0	0
453	2	0	3	5	0	2	4	3	1	1	5
454	2	0	0	10	0	0	0	2	15	0	0
455	1	0	0	0	0	1	0	0	0	27	2
456	2	2	0	7	0	0	0	0	14	0	0
457	2	2	0	17	0	0	0	4	18	0	0
458	5	2	1	27	0	0	0	4	7	0	1
459	2	0	0	0	0	2	0	0	0	14	8
460	2	2	1	15	1	0	1	9	18	0	0
461	1	2	1	14	0	0	1	3	8	1	0
462	5	2	3	2	0	1	2	2	0	0	4
463	21	7	2	23	0	4	4	2	11	21	21
464	1	4	0	15	0	0	1	6	30	1	0
465	55	0	1	2	0	0	7	0	0	1	0
466	24	0	0	1	1	1	8	1	0	3	0
467	6	2	2	1	32	12	1	2	12	2	1
468	19	1	8	2	0	0	7	0	1	1	0
469	23	0	7	2	0	0	2	0	0	2	0
470	1	0	0	0	0	0	1	0	0	16	7
471	0	0	0	0	0	1	0	0	0	23	5
472	35	1	0	3	1	0	9	0	0	0	0
473	31	0	0	2	0	0	4	0	0	1	0
474	1	4	1	7	1	3	0	16	5	16	12
475	1	1	0	8	0	0	0	3	11	0	0
476	6	6	7	7	1	0	5	2	2	5	7
477	2	1	0	10	0	0	0	6	18	0	0
478	3	2	0	3	0	1	1	2	11	0	1
479	27	0	0	1	0	0	1	0	0	1	0
480	2	0	0	2	12	10	0	0	1	0	0
481	1	0	0	0	0	0	0	0	0	24	6
482	21	0	4	1	0	0	3	0	0	1	0
483	2	0	0	3	5	28	0	0	3	0	0
484	1	5	0	4	0	4	4	3	4	1	4
485	15	0	3	6	1	1	9	1	0	0	1
486	2	0	0	4	0	0	1	13	26	0	0
487	1	3	0	6	1	0	0	8	25	0	0
488	2	1	4	3	1	4	2	5	2	3	3
489	3	4	0	0	1	1	0	12	17	0	0
490	2	1	0	14	0	0	0	1	14	0	0
491	1	2	0	13	0	0	0	7	10	0	0
492	2	0	0	11	0	0	0	2	20	0	0
493	3	3	0	0	1	3	5	4	3	1	0
494	8	0	3	2	1	3	6	4	5	7	3
495	17	0	3	3	0	0	2	0	0	2	1
496	33	0	2	1	0	0	4	0	0	1	0
497	23	0	1	1	0	0	3	0	0	1	0
498	0	0	0	0	0	1	1	0	0	26	6
499	13	0	1	0	1	12	15	21	9	9	7
500	37	0	3	2	0	0	2	0	0	1	0
501	2	0	0	0	0	0	0	0	0	40	1
502	29	0	7	2	0	0	1	0	0	2	0
503	37	0	4	0	1	0	8	1	0	1	0
504	40	0	8	0	0	0	7	0	0	2	0
505	2	3	1	5	0	1	1	9	8	0	0
506	1	1	0	19	0	0	0	5	25	0	1
507	45	1	9	0	0	0	4	1	1	1	0
508	24	1	5	3	0	0	9	0	0	1	1
509	5	1	6	2	0	2	6	4	0	5	6
510	5	5	1	17	1	1	0	1	11	1	1
511	1	0	0	0	0	0	1	0	0	25	6
512	6	0	1	8	1	4	6	1	8	8	5
513	14	0	8	1	1	0	10	1	0	4	1
514	3	0	1	32	1	1	0	13	5	0	1
515	5	5	4	1	1	2	6	5	5	6	6
516	0	23	0	3	0	0	0	0	1	0	0
517	6	0	1	7	20	61	1	1	1	0	0
518	0	31	1	0	0	0	0	0	0	0	0
519	2	2	3	18	2	5	12	2	12	7	8
520	17	0	5	1	0	0	2	0	0	1	0
521	7	1	8	7	1	1	8	6	4	1	5
522	3	1	1	1	1	3	2	1	0	36	4
523	2	2	5	5	0	4	3	3	0	1	1
524	49	0	3	1	0	0	5	0	0	2	0
525	1	1	0	6	0	0	0	3	11	0	0
526	25	1	6	1	0	1	7	0	0	3	1
527	1	1	1	26	1	0	1	10	5	1	0
528	26	0	2	1	0	0	1	0	0	0	0
529	19	1	6	4	0	0	10	1	0	1	0
530	32	0	1	1	0	0	0	0	0	1	0
531	47	0	4	1	0	0	4	0	0	2	0
532	31	0	4	2	0	0	8	0	0	2	0
533	0	0	0	0	0	1	1	0	0	33	5
534	3	3	0	15	1	0	1	2	20	0	1
535	2	0	0	1	0	5	3	0	0	22	5
536	8	1	3	1	1	1	8	8	3	6	3
537	0	0	0	0	0	1	1	0	0	10	9
538	1	0	0	1	2	39	1	1	3	1	1
539	4	0	3	6	1	1	6	1	0	4	0
540	2	2	0	0	0	0	0	5	16	0	0
541	4	2	1	22	1	0	1	1	1	0	0
542	14	0	5	2	0	0	9	0	1	2	0
543	28	0	2	1	0	0	1	0	0	0	0
544	0	34	0	1	0	0	0	0	1	0	0
545	20	0	4	1	0	0	2	0	0	1	0
546	3	0	1	1	1	0	3	0	0	23	14
547	29	0	0	0	0	0	2	0	0	1	0
548	2	5	4	1	0	4	2	4	0	3	3
549	19	0	3	1	0	0	3	0	0	1	0
550	1	1	0	11	0	0	0	1	8	0	0
551	30	0	3	1	0	0	3	0	0	1	0
552	0	2	3	3	2	2	11	3	3	11	39
553	3	3	1	22	0	0	0	4	5	0	1
554	2	0	0	1	13	29	0	0	2	0	1
555	4	1	27	9	0	2	14	2	0	6	0
556	1	0	1	2	13	27	1	0	4	1	1
557	2	3	3	1	0	3	3	3	1	1	3
558	2	0	0	2	12	26	0	0	2	0	0
559	1	0	0	2	13	8	0	0	0	0	0
560	0	45	2	4	0	0	0	3	1	0	0
561	0	46	1	2	0	0	0	1	2	0	0
562	1	0	0	0	0	0	2	0	0	17	11
563	3	1	0	14	0	0	0	5	0	0	0
564	1	0	0	0	0	1	1	0	0	24	6
565	1	0	0	0	0	1	1	0	0	25	4
566	4	4	0	3	1	1	1	7	32	1	0
567	2	0	0	0	0	1	2	0	0	39	3
